"id","email_or_user","attempt_time","ip_address"
"id","user_id","ip_address","browser","status","login_time"
"3","10","::1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0","success","2026-02-06 10:19:51"
"4","10","::1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0","success","2026-02-06 00:06:21"
"5","10","::1","Chrome on Windows","success","2026-02-08 14:42:29"
"6","10","::1","Unknown","success","2026-02-08 14:48:50"
"7","10","::1","Unknown","success","2026-02-08 14:51:16"
"8","10","::1","Unknown","success","2026-02-08 15:03:53"
"9","10","::1","Unknown","success","2026-02-08 15:28:43"
"10","10","::1","Unknown","success","2026-02-08 15:32:41"
"11","10","::1","Unknown","success","2026-02-08 15:35:36"
"12","10","::1","Unknown","success","2026-02-08 15:37:32"
"13","10","::1","Unknown","success","2026-02-08 15:41:49"
"14","10","::1","Unknown","success","2026-02-08 15:48:58"
"15","10","::1","Unknown","success","2026-02-08 16:40:54"
"id","name","category","plans_json","logo_icon"
"1","Netflix","Entertainment","[
    {""name"":""Standard with ads"",""price"":6.99,""cycle"":""Monthly""},
    {""name"":""Standard"",""price"":15.49,""cycle"":""Monthly""},
    {""name"":""Premium (4K)"",""price"":22.99,""cycle"":""Monthly""}
]","fab fa-netflix"
"2","Spotify","Entertainment","[
    {""name"":""Individual"",""price"":11.99,""cycle"":""Monthly""},
    {""name"":""Duo"",""price"":16.99,""cycle"":""Monthly""},
    {""name"":""Family"",""price"":19.99,""cycle"":""Monthly""},
    {""name"":""Student"",""price"":5.99,""cycle"":""Monthly""}
]","fab fa-spotify"
"3","Apple TV+","Entertainment","[
    {""name"":""Monthly"",""price"":9.99,""cycle"":""Monthly""},
    {""name"":""Yearly"",""price"":99.99,""cycle"":""Yearly""},
    {""name"":""Apple One (Individual)"",""price"":19.95,""cycle"":""Monthly""},
    {""name"":""Apple One (Family)"",""price"":25.95,""cycle"":""Monthly""}
]","fab fa-apple"
"4","Disney+","Entertainment","[
    {""name"":""Basic (With Ads)"",""price"":9.99,""cycle"":""Monthly""},
    {""name"":""Premium (No Ads)"",""price"":15.99,""cycle"":""Monthly""},
    {""name"":""Premium Annual"",""price"":159.99,""cycle"":""Yearly""},
    {""name"":""Duo Basic (Hulu Bundle)"",""price"":10.99,""cycle"":""Monthly""}
]","fas fa-video"
"5","YouTube Premium","Entertainment","[
    {""name"":""Individual"",""price"":13.99,""cycle"":""Monthly""},
    {""name"":""Family"",""price"":22.99,""cycle"":""Monthly""},
    {""name"":""Student"",""price"":7.99,""cycle"":""Monthly""},
    {""name"":""Annual"",""price"":139.99,""cycle"":""Yearly""}
]","fab fa-youtube"
"6","Hulu","Entertainment","[
    {""name"":""With Ads"",""price"":9.99,""cycle"":""Monthly""},
    {""name"":""No Ads"",""price"":18.99,""cycle"":""Monthly""},
    {""name"":""Hulu + Live TV (Ads)"",""price"":81.99,""cycle"":""Monthly""}
]","fas fa-tv"
"7","Max (HBO)","Entertainment","[
    {""name"":""With Ads"",""price"":9.99,""cycle"":""Monthly""},
    {""name"":""Ad-Free"",""price"":16.99,""cycle"":""Monthly""},
    {""name"":""Ultimate Ad-Free"",""price"":20.99,""cycle"":""Monthly""},
    {""name"":""Ad-Free Yearly"",""price"":169.99,""cycle"":""Yearly""}
]","fas fa-film"
"8","Amazon Prime","Utilities","[
    {""name"":""Monthly"",""price"":14.99,""cycle"":""Monthly""},
    {""name"":""Annual"",""price"":139.00,""cycle"":""Yearly""},
    {""name"":""Student Monthly"",""price"":7.49,""cycle"":""Monthly""}
]","fab fa-amazon"
"9","Peacock","Entertainment","[
    {""name"":""Premium"",""price"":7.99,""cycle"":""Monthly""},
    {""name"":""Premium Plus"",""price"":13.99,""cycle"":""Monthly""},
    {""name"":""Premium Annual"",""price"":79.99,""cycle"":""Yearly""}
]","fas fa-crow"
"10","Paramount+","Entertainment","[
    {""name"":""Essential"",""price"":7.99,""cycle"":""Monthly""},
    {""name"":""with Showtime"",""price"":12.99,""cycle"":""Monthly""},
    {""name"":""Essential Annual"",""price"":59.99,""cycle"":""Yearly""}
]","fas fa-mountain"
"11","Crunchyroll","Entertainment","[
    {""name"":""Fan"",""price"":7.99,""cycle"":""Monthly""},
    {""name"":""Mega Fan"",""price"":9.99,""cycle"":""Monthly""},
    {""name"":""Mega Fan Yearly"",""price"":99.99,""cycle"":""Yearly""}
]","fas fa-dragon"
"12","Audible","Personal","[
    {""name"":""Plus"",""price"":7.95,""cycle"":""Monthly""},
    {""name"":""Premium Plus"",""price"":14.95,""cycle"":""Monthly""},
    {""name"":""Premium Plus (2 Credits)"",""price"":22.95,""cycle"":""Monthly""},
    {""name"":""Annual (12 Credits)"",""price"":149.50,""cycle"":""Yearly""}
]","fas fa-book-open"
"13","Apple Music","Entertainment","[
    {""name"":""Individual"",""price"":10.99,""cycle"":""Monthly""},
    {""name"":""Family"",""price"":16.99,""cycle"":""Monthly""},
    {""name"":""Student"",""price"":5.99,""cycle"":""Monthly""}
]","fab fa-apple"
"14","SoundCloud","Entertainment","[
    {""name"":""Go"",""price"":4.99,""cycle"":""Monthly""},
    {""name"":""Go+"",""price"":9.99,""cycle"":""Monthly""}
]","fab fa-soundcloud"
"15","Tidal","Entertainment","[
    {""name"":""HiFi"",""price"":10.99,""cycle"":""Monthly""},
    {""name"":""HiFi Plus"",""price"":19.99,""cycle"":""Monthly""},
    {""name"":""Family"",""price"":16.99,""cycle"":""Monthly""}
]","fas fa-wave-square"
"16","Xbox Game Pass","Entertainment","[
    {""name"":""Core"",""price"":9.99,""cycle"":""Monthly""},
    {""name"":""Console"",""price"":10.99,""cycle"":""Monthly""},
    {""name"":""PC"",""price"":9.99,""cycle"":""Monthly""},
    {""name"":""Ultimate"",""price"":16.99,""cycle"":""Monthly""}
]","fab fa-xbox"
"17","PlayStation Plus","Entertainment","[
    {""name"":""Essential"",""price"":9.99,""cycle"":""Monthly""},
    {""name"":""Extra"",""price"":14.99,""cycle"":""Monthly""},
    {""name"":""Premium"",""price"":17.99,""cycle"":""Monthly""},
    {""name"":""Essential Yearly"",""price"":79.99,""cycle"":""Yearly""}
]","fab fa-playstation"
"18","Nintendo Switch Online","Entertainment","[
    {""name"":""Individual (12 Mo)"",""price"":19.99,""cycle"":""Yearly""},
    {""name"":""Expansion Pack"",""price"":49.99,""cycle"":""Yearly""},
    {""name"":""Family"",""price"":34.99,""cycle"":""Yearly""}
]","fas fa-gamepad"
"19","Discord Nitro","Utilities","[
    {""name"":""Basic"",""price"":2.99,""cycle"":""Monthly""},
    {""name"":""Nitro"",""price"":9.99,""cycle"":""Monthly""},
    {""name"":""Nitro Yearly"",""price"":99.99,""cycle"":""Yearly""}
]","fab fa-discord"
"20","Twitch","Entertainment","[
    {""name"":""Tier 1 Sub"",""price"":5.99,""cycle"":""Monthly""},
    {""name"":""Tier 2 Sub"",""price"":9.99,""cycle"":""Monthly""},
    {""name"":""Tier 3 Sub"",""price"":24.99,""cycle"":""Monthly""},
    {""name"":""Turbo"",""price"":11.99,""cycle"":""Monthly""}
]","fab fa-twitch"
"21","GeForce Now","Entertainment","[
    {""name"":""Priority"",""price"":9.99,""cycle"":""Monthly""},
    {""name"":""Ultimate"",""price"":19.99,""cycle"":""Monthly""},
    {""name"":""Priority (6 Month)"",""price"":49.99,""cycle"":""Yearly""}
]","fas fa-microchip"
"22","Google One","Utilities","[
    {""name"":""Basic (100GB)"",""price"":1.99,""cycle"":""Monthly""},
    {""name"":""Standard (200GB)"",""price"":2.99,""cycle"":""Monthly""},
    {""name"":""Premium (2TB)"",""price"":9.99,""cycle"":""Monthly""},
    {""name"":""Basic Yearly"",""price"":19.99,""cycle"":""Yearly""},
    {""name"":""Premium Yearly"",""price"":99.99,""cycle"":""Yearly""}
]","fab fa-google"
"23","iCloud+","Utilities","[
    {""name"":""50GB"",""price"":0.99,""cycle"":""Monthly""},
    {""name"":""200GB"",""price"":2.99,""cycle"":""Monthly""},
    {""name"":""2TB"",""price"":9.99,""cycle"":""Monthly""},
    {""name"":""6TB"",""price"":29.99,""cycle"":""Monthly""}
]","fab fa-apple"
"24","Dropbox","Work/Tools","[
    {""name"":""Plus"",""price"":11.99,""cycle"":""Monthly""},
    {""name"":""Family"",""price"":19.99,""cycle"":""Monthly""},
    {""name"":""Professional"",""price"":19.99,""cycle"":""Monthly""},
    {""name"":""Plus Yearly"",""price"":119.88,""cycle"":""Yearly""}
]","fab fa-dropbox"
"25","NordVPN","Utilities","[
    {""name"":""Standard Monthly"",""price"":12.99,""cycle"":""Monthly""},
    {""name"":""Plus Monthly"",""price"":13.99,""cycle"":""Monthly""},
    {""name"":""Standard 1-Year"",""price"":59.88,""cycle"":""Yearly""},
    {""name"":""Standard 2-Year"",""price"":83.76,""cycle"":""Yearly""}
]","fas fa-shield-alt"
"26","ExpressVPN","Utilities","[
    {""name"":""Monthly"",""price"":12.95,""cycle"":""Monthly""},
    {""name"":""6 Months"",""price"":59.95,""cycle"":""Yearly""},
    {""name"":""12 Months"",""price"":99.95,""cycle"":""Yearly""}
]","fas fa-shield-alt"
"27","LastPass","Utilities","[
    {""name"":""Premium"",""price"":3.00,""cycle"":""Monthly""},
    {""name"":""Families"",""price"":4.00,""cycle"":""Monthly""},
    {""name"":""Premium Yearly"",""price"":36.00,""cycle"":""Yearly""}
]","fas fa-key"
"28","1Password","Utilities","[
    {""name"":""Individual"",""price"":2.99,""cycle"":""Monthly""},
    {""name"":""Families"",""price"":4.99,""cycle"":""Monthly""},
    {""name"":""Individual Yearly"",""price"":35.88,""cycle"":""Yearly""}
]","fas fa-key"
"29","ChatGPT","Work/Tools","[
    {""name"":""Plus"",""price"":20.00,""cycle"":""Monthly""},
    {""name"":""Team"",""price"":25.00,""cycle"":""Monthly""}
]","fas fa-robot"
"30","Claude Pro","Work/Tools","[
    {""name"":""Pro"",""price"":20.00,""cycle"":""Monthly""}
]","fas fa-brain"
"31","GitHub Copilot","Work/Tools","[
    {""name"":""Individual"",""price"":10.00,""cycle"":""Monthly""},
    {""name"":""Yearly"",""price"":100.00,""cycle"":""Yearly""}
]","fab fa-github"
"32","Midjourney","Work/Tools","[
    {""name"":""Basic"",""price"":10.00,""cycle"":""Monthly""},
    {""name"":""Standard"",""price"":30.00,""cycle"":""Monthly""},
    {""name"":""Pro"",""price"":60.00,""cycle"":""Monthly""},
    {""name"":""Mega"",""price"":120.00,""cycle"":""Monthly""}
]","fas fa-palette"
"33","Perplexity","Work/Tools","[
    {""name"":""Pro Monthly"",""price"":20.00,""cycle"":""Monthly""},
    {""name"":""Pro Yearly"",""price"":200.00,""cycle"":""Yearly""}
]","fas fa-search"
